date,temp_max_c,temp_min_c,temp_mean_c,precip_mm,humidity_max,humidity_min,wind_max_kmh,wind_mean_kmh,et0_mm,solar_mj,vpd_kpa,temp_range_c,is_hot_day,is_very_hot,humidity_mean,humidity_range,is_dry_day,is_humid_day,is_rainy_day,is_heavy_rain,no_rain,is_windy,evap_risk
2025-10-18,30.4,23.4,25.4,44.7,99,72,10.1,4.3,3.23,16.17,1.2,7.0,0,0,85.5,27,0,1,1,1,0,0,16.31
2025-10-19,30.4,23.0,25.0,23.5,99,72,18.3,4.8,3.11,15.79,1.2,7.399999999999999,0,0,85.5,27,0,1,1,1,0,0,16.275
2025-10-20,26.8,22.8,24.4,32.7,100,89,11.6,3.9,1.46,7.23,0.38,4.0,0,0,94.5,11,0,1,1,1,0,0,12.66
2025-10-21,27.3,23.1,24.6,38.6,99,79,15.2,10.6,2.14,10.91,0.76,4.199999999999999,0,0,89.0,20,0,1,1,1,0,0,16.34
2025-10-22,27.4,23.1,24.9,5.2,98,80,19.2,14.5,2.33,12.24,0.73,4.299999999999997,0,0,89.0,18,0,1,1,0,0,0,17.435
2025-10-23,27.0,23.0,24.7,17.4,99,90,16.4,10.9,1.77,9.31,0.35,4.0,0,0,94.5,9,0,1,1,0,0,0,14.53
2025-10-24,26.9,22.9,24.3,6.8,99,86,18.2,10.6,1.7,9.05,0.48,4.0,0,0,92.5,13,0,1,1,0,0,0,14.995
2025-10-25,28.5,23.0,25.3,2.2,99,76,15.4,10.2,2.52,12.97,0.93,5.5,0,0,87.5,23,0,1,0,0,0,0,17.045
2025-10-26,29.8,23.5,26.3,0.1,96,69,16.2,10.5,3.77,18.46,1.27,6.300000000000001,0,0,82.5,27,0,1,0,0,0,0,19.27
2025-10-27,29.5,24.0,26.7,1.2,96,69,23.4,15.2,3.96,18.87,1.27,5.5,0,0,82.5,27,0,1,0,0,0,1,20.605
2025-10-28,28.8,23.6,25.8,13.8,99,76,21.1,15.1,3.06,16.06,0.91,5.199999999999999,0,0,87.5,23,0,1,1,0,0,1,18.47
2025-10-29,30.4,24.0,26.7,1.1,95,67,18.9,12.9,4.42,22.07,1.44,6.399999999999999,0,0,81.0,28,0,1,0,0,0,0,20.555
2025-10-30,31.1,23.5,26.7,0.1,96,60,14.2,9.5,4.76,23.53,1.8,7.600000000000001,0,0,78.0,36,0,1,0,0,0,0,20.755
2025-10-31,31.6,23.4,26.9,0.1,97,59,9.6,6.0,4.7,22.83,1.9,8.200000000000003,0,0,78.0,38,0,1,0,0,0,0,19.96
2025-11-01,31.8,23.4,26.9,0.0,97,58,11.4,6.8,4.69,22.75,1.96,8.400000000000002,0,0,77.5,39,0,1,0,0,1,0,20.335
2025-11-02,30.5,24.0,26.6,0.7,98,67,17.2,10.2,4.36,21.9,1.45,6.5,0,0,82.5,31,0,1,0,0,0,0,19.315
2025-11-03,30.5,23.3,26.5,0.4,96,66,17.5,11.0,4.46,22.11,1.46,7.199999999999999,0,0,81.0,30,0,1,0,0,0,0,20.0
2025-11-04,30.3,23.7,26.5,0.9,96,66,19.8,12.1,4.27,20.94,1.44,6.600000000000001,0,0,81.0,30,0,1,0,0,0,0,20.275
2025-11-05,29.5,23.9,26.2,1.7,96,69,16.2,11.7,3.91,19.48,1.28,5.600000000000001,0,0,82.5,27,0,1,0,0,0,0,19.53
2025-11-06,29.2,22.7,25.2,8.5,97,72,14.7,10.0,3.39,17.68,1.1,6.5,0,0,84.5,25,0,1,1,0,0,0,18.005
2025-11-07,29.8,23.1,25.8,3.0,98,69,14.3,7.7,3.64,18.53,1.31,6.699999999999999,0,0,83.5,29,0,1,0,0,0,0,18.02
2025-11-08,30.4,22.9,25.3,9.6,99,69,10.7,5.5,3.46,17.42,1.35,7.5,0,0,84.0,30,0,1,1,0,0,0,17.095
2025-11-09,30.4,22.3,25.6,2.9,100,60,14.9,4.9,4.11,20.92,1.72,8.099999999999998,0,0,80.0,40,0,1,0,0,0,0,18.465
2025-11-10,28.7,22.7,25.1,11.3,100,74,11.7,4.4,3.35,17.59,1.01,6.0,0,0,87.0,26,0,1,1,0,0,0,15.69
2025-11-11,30.5,22.6,25.5,12.9,100,68,8.5,5.5,3.98,20.33,1.39,7.899999999999999,0,0,84.0,32,0,1,1,0,0,0,17.175
2025-11-12,30.0,23.0,25.1,10.7,100,73,17.9,5.2,3.03,15.82,1.13,7.0,0,0,86.5,27,0,1,1,0,0,0,16.065
2025-11-13,29.8,23.1,25.2,12.7,98,72,17.4,13.4,3.83,20.75,1.16,6.699999999999999,0,0,85.0,26,0,1,1,0,0,0,18.68
2025-11-14,30.5,23.1,26.3,0.0,96,59,19.9,13.2,4.54,21.5,1.77,7.399999999999999,0,0,77.5,37,0,1,0,0,1,0,21.695
2025-11-15,29.8,23.0,25.6,1.5,98,62,19.0,11.6,3.71,18.06,1.59,6.800000000000001,0,0,80.0,36,0,1,0,0,0,0,20.14
2025-11-16,29.5,23.4,25.3,7.2,99,72,17.5,11.4,3.15,16.52,1.15,6.100000000000001,0,0,85.5,27,0,1,1,0,0,0,18.045
2025-11-17,27.0,22.8,24.3,23.1,98,87,16.4,9.9,1.71,9.05,0.45,4.199999999999999,0,0,92.5,11,0,1,1,1,0,0,14.82
2025-11-18,29.6,22.8,24.8,27.8,100,73,15.5,8.1,3.0,15.52,1.13,6.800000000000001,0,0,86.5,27,0,1,1,1,0,0,16.67
2025-11-19,30.6,22.4,25.9,0.4,100,61,11.4,7.5,4.16,20.53,1.7,8.200000000000003,0,0,80.5,39,0,1,0,0,0,0,19.06
2025-11-20,29.1,23.2,25.2,10.0,99,77,16.2,9.7,3.06,16.13,0.91,5.900000000000002,0,0,88.0,22,0,1,1,0,0,0,16.705
2025-11-21,30.5,23.6,25.7,7.9,99,70,15.0,8.9,3.65,19.05,1.33,6.899999999999999,0,0,84.5,29,0,1,1,0,0,0,17.93
2025-11-22,28.8,23.4,25.0,32.1,99,79,9.8,5.4,2.31,11.5,0.84,5.400000000000002,0,0,89.0,20,0,1,1,1,0,0,15.2
2025-11-23,29.9,23.3,25.0,45.1,100,69,15.7,8.2,2.88,14.93,1.31,6.599999999999998,0,0,84.5,31,0,1,1,1,0,0,17.475
2025-11-24,26.2,23.0,23.9,29.9,100,90,21.6,12.6,1.03,5.27,0.35,3.1999999999999993,0,0,95.0,10,0,1,1,1,0,1,14.46
2025-11-25,25.3,22.8,23.9,19.0,98,93,19.6,13.8,1.23,6.53,0.24,2.5,0,0,95.5,5,0,1,1,0,0,0,14.585
2025-11-26,25.2,22.6,23.7,27.2,98,89,25.9,21.0,1.2,6.53,0.34,2.599999999999998,0,0,93.5,9,0,1,1,1,0,1,17.005
2025-11-27,24.0,22.8,23.2,148.1,97,95,35.6,25.8,0.69,2.83,0.14,1.1999999999999993,0,0,96.0,2,0,1,1,1,0,1,17.13
2025-11-28,23.1,22.3,22.9,159.7,97,95,39.9,30.6,0.71,2.89,0.15,0.8000000000000007,0,0,96.0,2,0,1,1,1,0,1,18.21
2025-11-29,25.0,21.0,23.1,34.4,96,80,28.1,16.1,1.5,8.19,0.64,4.0,0,0,88.0,16,0,1,1,1,0,1,17.465
2025-11-30,29.2,20.2,24.5,0.0,96,65,15.8,9.3,4.12,21.16,1.42,9.0,0,0,80.5,31,0,1,0,0,1,0,18.95
2025-12-01,29.6,21.0,24.7,0.2,98,66,12.8,7.2,3.95,20.06,1.42,8.600000000000001,0,0,82.0,32,0,1,0,0,0,0,17.98
2025-12-02,29.5,21.4,25.2,1.1,98,67,12.9,7.0,3.87,19.48,1.37,8.100000000000001,0,0,82.5,31,0,1,0,0,0,0,17.955
2025-12-03,29.7,22.4,25.6,1.5,97,64,10.3,6.6,3.95,19.95,1.51,7.300000000000001,0,0,80.5,33,0,1,0,0,0,0,18.715
2025-12-04,30.0,23.0,25.6,2.4,98,65,13.7,8.6,3.67,18.26,1.49,7.0,0,0,81.5,33,0,1,0,0,0,0,18.865
2025-12-05,29.6,23.0,25.2,4.1,96,70,20.0,13.6,3.47,18.26,1.25,6.600000000000001,0,0,83.0,26,0,1,0,0,0,0,19.43
2025-12-06,30.0,22.3,25.3,9.4,97,67,14.0,9.2,3.47,17.42,1.42,7.699999999999999,0,0,82.0,30,0,1,1,0,0,0,18.72
2025-12-07,29.9,23.0,25.6,2.4,97,67,16.9,13.0,3.69,18.82,1.36,6.899999999999999,0,0,82.0,30,0,1,0,0,0,0,19.79
2025-12-08,30.1,22.9,26.1,0.0,97,63,18.3,13.3,4.38,21.1,1.59,7.200000000000003,0,0,80.0,34,0,1,0,0,1,0,20.765
2025-12-09,28.3,22.2,24.6,7.5,98,80,15.2,11.4,2.62,13.91,0.77,6.100000000000001,0,0,89.0,18,0,1,1,0,0,0,16.54
2025-12-10,28.1,22.6,24.5,12.5,98,71,18.7,14.2,2.39,12.39,1.1,5.5,0,0,84.5,27,0,1,1,0,0,0,18.775
2025-12-11,28.4,22.6,24.2,19.5,97,78,20.1,14.0,2.59,14.25,0.84,5.799999999999997,0,0,87.5,19,0,1,1,0,0,1,17.555
2025-12-12,29.1,22.6,24.6,8.5,98,75,15.6,12.8,3.11,16.66,0.99,6.5,0,0,86.5,23,0,1,1,0,0,0,17.765
2025-12-13,27.9,22.4,24.4,18.5,98,76,19.0,14.6,3.01,16.47,0.87,5.5,0,0,87.0,22,0,1,1,0,0,0,17.96
2025-12-14,28.0,22.3,24.7,2.3,97,77,20.2,14.9,3.2,17.01,0.87,5.699999999999999,0,0,87.0,20,0,1,0,0,0,1,18.155
2025-12-15,28.5,21.3,24.6,0.5,96,69,20.6,14.6,3.64,18.9,1.2,7.199999999999999,0,0,82.5,27,0,1,0,0,0,1,19.615
2025-12-16,30.1,23.2,25.6,8.2,95,66,18.8,12.6,3.2,15.88,1.46,6.900000000000002,0,0,80.5,29,0,1,1,0,0,0,20.215
2025-12-17,28.5,23.4,25.3,10.2,98,77,22.9,16.5,2.97,15.79,0.91,5.100000000000001,0,0,87.5,21,0,1,1,0,0,1,18.62
2025-12-18,27.7,23.2,24.9,8.7,96,83,24.2,17.4,2.73,15.25,0.58,4.5,0,0,89.5,13,0,1,1,0,0,1,17.985
2025-12-19,28.5,23.0,25.3,1.3,93,71,21.1,15.8,3.68,18.75,1.13,5.5,0,0,82.0,22,0,1,0,0,0,1,20.37
2025-12-20,28.4,21.5,24.7,1.4,94,68,17.5,12.7,3.66,17.91,1.25,6.899999999999999,0,0,81.0,26,0,1,0,0,0,0,19.705
2025-12-21,28.5,21.6,24.9,0.1,90,69,20.9,15.2,3.92,18.39,1.2,6.899999999999999,0,0,79.5,21,0,1,0,0,0,1,20.935
2025-12-22,28.6,22.1,25.0,0.2,91,65,21.8,16.0,4.15,19.67,1.35,6.5,0,0,78.0,26,0,1,0,0,0,1,21.7
2025-12-23,29.4,21.0,24.9,0.7,95,68,19.3,13.8,3.66,18.16,1.31,8.399999999999999,0,0,81.5,27,0,1,0,0,0,0,19.885
2025-12-24,28.0,22.6,24.7,1.0,96,77,19.4,13.4,3.43,18.08,0.85,5.399999999999999,0,0,86.5,19,0,1,0,0,0,0,17.955
2025-12-25,29.1,22.0,24.9,0.2,96,61,19.4,13.0,4.01,19.92,1.56,7.100000000000001,0,0,78.5,35,0,1,0,0,0,0,20.735
2025-12-26,29.8,21.2,25.2,0.0,98,56,15.2,11.4,4.55,22.05,1.82,8.600000000000001,0,0,77.0,42,0,1,0,0,1,0,20.98
2025-12-27,29.1,22.0,25.1,0.6,92,69,19.1,13.8,4.11,20.59,1.18,7.100000000000001,0,0,80.5,23,0,1,0,0,0,0,20.315
2025-12-28,29.3,21.9,25.2,0.3,95,70,19.9,13.6,4.01,20.35,1.24,7.400000000000002,0,0,82.5,25,0,1,0,0,0,0,19.605
2025-12-29,28.8,22.9,25.6,0.2,95,71,18.6,14.6,3.96,20.12,1.12,5.900000000000002,0,0,83.0,24,0,1,0,0,0,0,19.84
2025-12-30,28.8,22.8,25.5,1.1,96,75,16.3,11.6,3.61,18.57,0.97,6.0,0,0,85.5,21,0,1,0,0,0,0,18.175
2025-12-31,29.0,22.9,25.0,16.6,100,70,14.2,8.7,3.26,16.64,1.18,6.100000000000001,0,0,85.0,30,0,1,1,0,0,0,17.425
2026-01-01,28.9,22.6,24.6,10.1,100,76,15.4,6.6,3.01,15.93,0.94,6.299999999999997,0,0,88.0,24,0,1,1,0,0,0,15.69
2026-01-02,28.1,23.2,25.1,0.8,98,69,12.4,10.2,2.48,12.01,1.17,4.900000000000002,0,0,83.5,29,0,1,0,0,0,0,18.365
